uid,education,department,grade,gender,headpic,politicalstatus,religion,sourcearea,residence,fatherage,fathereducation,motherage,mothereducation,brothersistercount,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,nativeplace,fathersta,mothersta
1,8,1,6,1,2,2,1,5,2,52,7,46,7,0,4,1,2,2,2,5,1,1
2,8,1,6,1,1,4,1,7,2,50,7,50,6,0,1,1,2,1,2,7,1,1
4,8,1,6,0,1,3,1,3,2,48,8,48,8,0,1,1,2,1,2,3,1,1
5,8,1,6,0,1,3,1,13,1,46,4,48,2,2,1,1,2,2,2,13,1,1
6,8,1,6,1,1,3,1,6,2,49,6,47,6,0,1,1,2,2,2,6,1,1
7,8,1,6,1,9,3,1,9,2,52,4,49,7,1,1,1,2,2,2,3,1,1
8,8,1,6,1,6,4,1,6,2,47,7,53,7,0,1,1,2,2,2,6,1,1
10,8,1,6,1,1,4,1,23,2,50,7,45,7,0,1,1,2,2,2,23,1,1
11,8,1,6,1,1,4,1,2,2,49,3,48,3,3,1,1,2,2,2,18,1,1
12,8,1,6,1,1,3,1,13,2,48,7,46,4,0,1,1,2,2,2,13,1,1
13,8,1,6,1,1,4,1,15,2,51,6,50,4,0,4,1,2,2,2,15,1,1
14,8,1,6,0,9,3,1,3,2,47,7,46,7,0,1,1,2,2,2,3,1,1
15,8,1,6,0,7,4,1,32,2,48,4,45,6,0,1,1,2,2,2,32,1,1
16,8,1,6,1,1,4,1,4,2,60,4,59,6,2,1,1,2,2,2,4,1,1
17,8,1,6,0,1,3,1,12,2,50,4,46,4,0,1,1,2,1,2,13,1,1
18,8,1,6,0,8,3,1,30,2,50,4,52,6,0,1,1,2,2,2,30,1,1
19,8,1,6,0,1,4,1,7,2,49,7,48,7,1,1,1,2,2,2,14,1,1
20,8,1,6,0,9,4,1,2,2,53,6,53,4,0,1,1,2,2,2,8,1,1
21,8,1,6,0,2,3,1,2,2,48,8,47,7,0,1,1,2,2,2,2,1,1
22,8,1,6,0,3,4,1,12,2,59,1,46,1,0,1,1,2,2,2,12,1,1
23,8,1,6,0,9,3,1,26,2,56,6,58,7,2,1,1,2,1,2,14,1,1
24,8,1,6,1,2,4,1,2,1,50,4,47,6,0,1,1,2,2,2,2,1,1
25,8,1,6,0,1,3,1,17,2,47,4,47,4,0,1,1,2,2,2,17,1,1
27,8,1,6,1,9,3,1,2,2,50,7,50,8,0,1,1,2,2,2,17,1,1
28,8,1,6,1,1,4,1,16,2,48,7,49,4,1,1,1,2,2,2,16,1,1
29,8,1,6,1,1,4,1,12,2,52,4,51,3,4,1,1,2,2,2,12,1,1
30,8,1,6,0,1,4,1,32,2,49,6,48,7,0,1,1,2,2,2,32,1,1
31,8,1,6,1,7,3,1,14,2,46,2,46,2,2,1,1,2,2,2,14,1,1
32,8,1,6,1,8,4,1,13,2,50,6,48,6,0,3,1,2,1,2,13,1,1
33,8,1,6,1,1,4,1,12,2,45,7,44,6,0,1,1,2,2,2,12,1,1
34,8,1,6,1,2,4,1,7,2,49,7,44,7,0,1,1,2,2,2,7,1,1
35,8,1,6,1,1,4,1,23,2,49,8,43,6,0,1,1,2,2,2,23,1,1
36,8,1,6,1,1,4,1,26,2,50,6,48,7,0,1,1,2,2,2,26,1,1
37,8,1,6,1,1,4,1,17,2,47,6,48,4,1,1,1,2,2,2,17,1,1
38,8,1,6,0,1,4,1,6,2,50,3,48,4,0,1,1,2,1,2,6,1,1
39,8,1,6,1,2,4,1,17,2,49,7,45,6,0,1,1,2,2,2,17,1,1
40,8,1,6,0,1,3,1,4,1,48,3,46,3,2,1,1,2,1,2,4,1,1
41,8,1,6,1,5,4,1,17,2,48,7,46,4,0,1,1,2,2,2,17,1,1
42,8,1,6,1,1,4,1,25,2,58,2,52,4,0,1,1,2,2,2,25,1,1
43,8,1,6,1,2,3,1,23,1,46,4,46,4,2,1,1,2,2,2,23,1,1
44,8,1,6,0,1,4,1,14,1,49,4,49,6,3,1,1,2,2,2,17,1,1
45,8,1,6,1,3,4,1,32,1,47,3,45,1,1,1,1,2,2,2,14,1,1
46,8,1,6,0,9,3,1,14,2,49,6,46,3,0,1,1,2,2,2,14,1,1
47,8,1,6,1,1,4,1,2,2,52,7,51,7,0,1,1,2,2,2,25,1,1
48,8,1,6,1,5,4,1,4,1,44,3,45,3,2,1,1,2,1,2,4,1,1
49,8,1,6,0,9,3,1,5,2,47,3,46,3,2,1,1,2,2,2,5,1,1
50,8,1,6,1,7,4,1,15,1,45,3,45,2,1,1,1,2,2,2,15,1,1
51,8,1,6,1,1,4,3,13,2,51,4,51,4,1,2,1,2,1,2,13,1,1
52,8,1,6,0,9,4,1,30,2,49,6,50,6,0,1,1,2,2,2,31,1,1
54,8,1,6,1,8,3,1,14,2,46,7,45,7,0,2,1,2,2,2,14,1,1
55,8,1,6,1,1,4,1,5,2,52,6,52,6,1,1,1,2,2,2,5,1,1
56,8,1,6,0,9,4,1,2,2,46,4,48,6,0,1,1,2,2,2,2,1,1
57,8,1,6,1,1,3,1,5,1,48,3,51,2,1,3,1,2,2,2,5,1,1
58,8,1,6,0,1,4,1,19,1,44,4,47,3,1,4,1,2,2,2,19,1,1
59,8,1,6,1,1,4,1,25,2,48,2,46,2,0,1,1,2,2,2,25,1,1
62,8,1,6,1,9,4,1,24,2,54,4,44,2,2,1,1,2,2,2,24,1,1
63,8,1,6,0,1,3,1,2,1,52,4,47,3,3,1,1,2,2,2,2,1,1
64,8,1,6,0,1,4,1,6,2,51,7,48,4,0,1,1,2,2,2,6,2,1
65,8,1,6,1,8,4,1,13,2,51,9,49,9,0,1,1,2,1,2,13,1,1
66,8,1,6,0,1,4,2,24,2,48,4,44,2,2,1,1,2,2,2,24,2,1
67,8,1,6,1,1,4,1,2,2,51,8,50,7,0,1,1,2,2,2,2,1,1
68,8,1,6,1,3,3,1,31,1,54,4,55,4,2,1,1,2,2,2,31,2,1
70,8,1,6,1,1,3,1,32,2,50,4,53,3,0,1,1,2,2,2,32,1,1
71,8,1,6,1,2,4,1,2,2,50,6,49,4,0,2,1,2,1,2,9,1,1
72,8,1,6,1,3,4,1,31,2,52,4,54,4,0,1,1,2,2,2,31,1,1
73,8,1,6,1,3,3,1,2,2,50,7,49,8,0,1,1,2,2,2,30,1,1
74,8,1,6,1,3,3,1,4,1,55,4,48,3,1,2,1,2,2,2,4,2,1
75,8,1,6,1,3,3,1,14,2,51,4,51,3,3,2,1,2,2,2,14,1,1
76,8,1,6,0,2,4,1,3,2,51,7,47,8,0,1,1,2,2,2,3,1,1
77,8,1,6,0,9,4,1,30,2,49,6,50,6,1,1,1,2,2,2,30,1,1
78,8,1,6,1,10,4,1,25,2,60,7,57,7,0,2,1,2,2,2,25,1,1
79,8,1,6,1,1,3,1,14,2,47,3,45,2,2,1,1,2,2,2,14,1,1
80,8,1,6,0,1,3,1,2,2,46,7,46,7,0,1,1,2,2,2,31,1,1
81,8,1,6,1,1,3,1,21,2,49,6,49,6,1,1,1,2,2,2,3,1,1
82,8,1,6,1,1,4,1,32,2,47,1,47,1,0,1,1,2,2,2,32,2,1
83,8,1,6,0,1,4,1,14,2,58,7,60,6,2,1,1,2,2,2,14,1,1
84,8,1,6,1,5,3,1,3,1,51,3,56,3,3,1,1,2,2,2,3,1,1
85,8,1,6,1,1,4,1,14,1,51,3,51,2,2,1,1,2,2,2,14,1,1
86,8,1,6,0,1,2,1,2,2,51,7,47,7,0,1,1,2,2,2,2,1,1
87,8,1,6,1,1,4,1,8,2,51,9,50,8,1,1,1,2,2,2,5,1,1
89,8,1,6,1,2,4,1,6,2,46,4,41,3,2,1,1,2,1,2,6,1,1
90,8,1,6,0,3,3,1,3,2,46,4,45,6,0,1,1,2,2,2,3,2,1
91,8,1,6,1,1,3,1,2,2,44,6,48,7,0,1,1,2,2,2,17,1,1
92,8,1,6,1,1,3,1,6,1,51,1,49,1,2,1,1,2,2,2,6,1,1
93,8,1,6,1,1,2,1,4,2,52,7,52,6,0,1,1,2,1,2,4,1,1
94,8,1,6,1,1,2,1,2,2,52,6,51,6,0,1,1,2,2,2,2,1,1
95,8,1,6,1,1,3,1,6,2,54,7,51,4,0,1,1,2,2,2,6,1,1
96,8,1,6,1,9,4,1,31,2,51,3,49,4,0,1,1,2,2,2,31,1,1
97,8,1,6,1,1,3,1,16,2,51,4,51,4,0,2,1,2,2,2,16,1,1
98,8,1,6,1,2,4,1,2,2,50,7,50,6,0,1,1,2,2,2,3,1,1
99,8,1,6,0,7,2,2,6,2,47,7,46,7,1,1,1,2,2,2,6,1,1
100,8,1,6,1,3,3,1,2,1,44,4,45,3,0,1,1,2,2,2,4,1,1
101,8,1,6,1,1,3,1,31,2,59,6,58,9,0,1,1,2,2,2,31,1,1
102,8,1,6,1,1,4,1,6,2,59,7,59,7,1,1,1,2,2,2,6,1,1
103,8,4,6,0,2,2,1,2,2,59,3,59,4,0,2,1,2,2,2,2,1,1
105,8,4,6,0,1,2,1,12,2,57,4,52,3,1,5,1,2,2,2,12,1,1
106,8,4,6,1,1,4,1,13,1,52,3,49,4,1,1,1,2,2,2,13,1,1
107,8,4,6,1,1,4,1,7,1,52,2,44,1,1,1,1,2,2,2,7,1,1
108,8,4,6,0,8,3,1,13,1,48,6,44,6,0,1,1,2,2,2,13,1,1
110,8,4,6,0,9,4,1,3,1,51,3,53,3,2,1,1,2,2,2,3,1,1
113,8,4,6,0,7,3,1,17,1,57,4,56,3,2,1,1,2,2,2,17,1,1
114,8,4,6,1,10,4,1,3,1,48,4,48,2,2,1,1,2,2,2,3,1,1
115,8,4,6,1,2,3,1,4,1,45,2,44,1,2,1,1,2,2,2,4,1,1
116,8,4,6,1,1,4,1,25,2,52,6,52,2,0,2,1,2,2,2,25,1,1
117,8,4,6,1,8,4,1,7,2,48,3,47,3,0,2,1,2,2,2,3,1,1
118,8,4,6,0,1,4,1,3,1,47,4,44,3,2,1,1,2,2,2,3,1,1
120,8,4,6,1,9,4,1,5,2,46,3,46,2,1,1,1,2,2,2,3,1,1
121,8,4,6,1,1,2,1,14,1,52,4,50,4,2,1,1,2,2,2,14,1,1
122,8,4,6,1,10,2,1,15,2,48,4,44,3,1,1,1,2,2,2,15,1,1
123,8,4,6,1,1,3,1,14,1,49,4,49,1,2,4,1,2,2,2,14,1,1
128,8,4,6,1,8,2,1,4,1,49,6,47,6,0,1,1,2,2,2,4,1,1
129,8,4,6,0,1,3,1,19,1,68,1,65,1,4,2,1,2,2,2,19,1,2
130,8,4,6,1,1,3,1,17,1,43,2,44,3,2,2,1,2,2,2,17,1,1
133,8,4,6,1,9,2,1,31,1,51,3,45,2,0,1,1,2,2,2,31,1,1
134,8,4,6,0,1,4,1,18,2,50,7,46,1,1,1,1,2,2,2,18,1,1
135,8,4,6,1,8,2,1,9,2,50,8,48,4,0,1,1,2,1,2,15,1,1
136,8,4,6,1,1,3,1,3,1,52,4,51,4,2,1,1,2,2,2,3,1,1
155,8,10,6,0,1,3,1,24,2,47,7,47,4,0,1,1,2,2,2,24,1,1
156,8,10,6,1,2,4,1,14,1,50,4,50,4,2,1,1,2,2,2,14,1,1
157,8,10,6,0,1,3,1,14,1,48,4,48,3,4,1,1,2,2,2,14,1,1
158,8,10,6,0,1,3,1,6,1,55,2,50,2,2,1,1,2,2,2,6,1,1
159,8,10,6,1,9,4,1,14,2,51,4,51,3,1,1,1,2,2,2,14,1,1
160,8,10,6,1,8,3,1,3,2,49,3,47,3,1,1,1,2,1,2,3,1,1
162,8,10,6,0,1,3,1,3,2,46,3,48,4,1,1,1,2,2,2,14,1,1
163,8,10,6,1,2,3,1,6,1,56,3,53,3,2,1,1,2,2,2,6,1,1
164,8,10,6,1,8,3,1,14,1,47,2,48,3,3,1,1,2,2,2,14,1,1
166,8,10,6,0,2,4,1,17,2,44,3,45,4,2,1,1,2,2,2,17,1,1
167,8,10,6,1,7,4,1,16,1,59,2,50,2,3,1,1,2,2,2,5,1,1
168,8,10,6,1,1,3,1,4,1,48,3,50,3,0,1,1,2,2,2,4,1,1
169,8,10,6,1,2,4,1,2,2,51,7,49,4,2,2,1,2,1,2,2,1,1
170,8,10,6,1,2,2,1,2,2,51,6,50,6,0,1,1,2,2,2,2,1,1
172,8,10,6,0,1,3,1,6,1,57,4,59,2,2,1,1,2,2,2,6,1,1
173,8,10,6,1,1,4,1,15,1,51,3,50,3,2,3,1,2,2,2,15,1,1
174,8,10,6,0,2,2,1,2,2,50,9,49,9,0,1,1,2,2,2,14,1,1
175,8,10,6,0,3,3,1,14,2,48,4,49,4,1,1,1,2,2,2,14,1,1
176,8,10,6,0,1,4,1,2,2,46,2,46,6,0,1,1,2,2,2,18,1,1
177,8,10,6,0,1,3,1,29,2,48,3,47,3,0,1,1,2,2,2,29,1,1
178,8,10,6,0,3,3,1,12,2,48,6,45,4,0,1,1,2,2,2,12,1,1
179,8,10,6,0,5,3,1,7,2,49,7,49,7,0,1,1,2,2,2,17,1,1
180,8,10,6,1,1,3,1,8,2,48,7,48,7,0,1,1,2,2,2,16,1,1
